zmp3_name	zmp3_id	artist_group	community	cluster	zmp3_genre1	zmp3_genre2	zmp3_genre3	zmp3_genre4
Bằng Cường	2180	Pop sến loại 2	0	21.0	Việt Nam	V-Pop		
Bảo  Phúc	2194		6		Việt Nam	Nhạc Trữ Tình		
Bazan	2196		6	0.0	Việt Nam	Nhạc Trữ Tình		
Bích Thảo	2202		6		Việt Nam	Nhạc Trữ Tình		
Bích Phượng	2203		6	11.0	Việt Nam	Nhạc Trữ Tình		
Black Infinity	2206		0	25.0	Việt Nam	Rock Việt		
Bích Việt	2209		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	Nhạc Dân Ca - Quê Hương
Bông Mai	2211		33	14.0	Việt Nam	Nhạc Trữ Tình		
Minh Trang	2243		0		Việt Nam	Nhạc Trữ Tình		
Cao Minh	2254		6	12.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Châu Gia Kiệt	2258	Pop 9x Sến	0	21.0	Việt Nam			
Đăng Khôi	2269	Pop 2000	0	6.0	Việt Nam			
Nam Khánh	2279		8	3.0	Việt Nam	Nhạc Trữ Tình		
Nguyên Vũ	2288	Pop 9x Sến	6	21.0	Việt Nam	Nhạc Trữ Tình	V-Pop	
Thanh Thúy	2290		6		Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Quang Lý	2291		6	12.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Nhật Tinh Anh	2292		0	21.0	Việt Nam	V-Pop		
Đông Đào	2295		6	33.0	Việt Nam	Nhạc Trữ Tình		
Thu Hiền	2297		6	12.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Huỳnh Lợi	2307		6	12.0	Việt Nam	Nhạc Trữ Tình		
Việt Hùng	2309		6	39.0	Việt Nam	Nhạc Trữ Tình		
Siu Black	2314	Tây nguyên	6	18.0	Việt Nam	Nhạc Trữ Tình		
Khổng Tú Quỳnh	2318		0		Việt Nam			
Chu Bin	2342		0	21.0	Việt Nam			
Chương Đan	2350	Pop 2000 sến	0		Việt Nam			
Cindy Thái Tài	2353		6		Việt Nam	Nhạc Trữ Tình	V-Pop	
Tô Chấn Phong	2429		6	17.0	Việt Nam	Nhạc Trữ Tình		
Trần Tâm	2430		0	6.0	Việt Nam			
NSND Thanh Hoa	2453		6	11.0	Việt Nam	Nhạc Cách Mạng	Nhạc Dân Ca - Quê Hương	
Tam Ca Áo Trắng	2454	Pop 9x Sến	6	12.0	Việt Nam	Nhạc Trữ Tình		
Tam Ca Con Gái	2457		6		Việt Nam			
Trung Kiên	2459		6	11.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
CLB Giai Điệu Xanh	2579		0		Việt Nam	Nhạc Cách Mạng		
Công Trứ	2582		6		Việt Nam	Nhạc Trữ Tình		
Diệu Hiền	2587		6	10.0	Việt Nam			
Đức Minh	2590		6	18.0	Việt Nam	Nhạc Trữ Tình		
Khánh Loan	2595		6	13.0	Việt Nam	Nhạc Trữ Tình	Dance Việt	V-Pop
Minh Hiếu	2610		6		Việt Nam	Nhạc Trữ Tình		
Mỹ Hạnh	2613		6	18.0	Việt Nam	Nhạc Trữ Tình		
Phương Dung	2624		6		Việt Nam	Nhạc Trữ Tình		
Đăng Dương	2640		6	12.0	Việt Nam	Nhạc Cách Mạng		
Diệu Hương	2663		6	18.0	Việt Nam	Nhạc Trữ Tình		
Dalena	2664		6		Việt Nam	Nhạc Trữ Tình		
Doãn Tần	2669		6	12.0	Việt Nam	Nhạc Cách Mạng		
Đăng Anh	2684		0	39.0	Việt Nam	Nhạc Trữ Tình		
Đoàn Việt Phương	2686	Pop sến loại 2	6	39.0	Việt Nam			
Đăng Vũ	2703		6		Việt Nam	Nhạc Trữ Tình		
Dương Thái Long	2709		0		Việt Nam			
Duy Khoa	2724	Pop 9x Sến	0		Việt Nam			
Alx Kim Hoàng	2739	Pop sến loại 2	0	44.0	Việt Nam			
Anh Khang	2743	V-pop Mainstream	0		Việt Nam			
Final Stage	2747		0	25.0	Việt Nam	Rock Việt		
Gạt Tàn Đầy	2752		0		Việt Nam	Rock Việt		
Băng Di	2755	Pop 2000 sến	0		Việt Nam			
Giáng Ngọc	2759		6		Việt Nam	Nhạc Trữ Tình		
