zmp3_name	zmp3_id	artist_group	community	cluster	zmp3_genre1	zmp3_genre2	zmp3_genre3	zmp3_genre4
Ngọc Anh	433112		6	17.0	Việt Nam	Nhạc Trữ Tình	Cải Lương	
Doãn Minh	11741		6		Việt Nam			
Quốc Bảo	4355		0		Việt Nam			
Lâm Trường	9064		6	18.0	Việt Nam	Nhạc Trữ Tình		
Đặng Thế Luân	7363		6		Việt Nam	Nhạc Trữ Tình		
Ý Linh	67994		6	29.0	Việt Nam	Nhạc Trữ Tình		
Bé Như Quỳnh	69058		33	2.0	Việt Nam	Nhạc Thiếu Nhi		
Harry Lu	72221		0	39.0	Việt Nam			
Huỳnh Hiền Năng	101893	Pop Ballad Flop	0	39.0	Việt Nam			
A Huy	1951	Pop 2000 sến	0	39.0	Việt Nam			
Triệu Minh	11515	Pop 2000 sến	0	39.0	Việt Nam			
Mai Phương	2847	Pop sến loại 2	0		Việt Nam			
Lê Thành Trung	71423		0	5.0	Việt Nam			
Phương Thùy	1547		6		Việt Nam			
Thùy Trang	103877		6	29.0	Việt Nam	Nhạc Trữ Tình		
Thùy Trang	6420		6		Việt Nam			
Khang Duy	5239	Pop 2000 sến	0	39.0	Việt Nam			
Mi Trần	29126	Pop sến loại 2	0	39.0	Việt Nam			
Liên Bỉnh Phát	1935478		0	39.0	Việt Nam	V-Pop		
Hồ Hoài Anh	4134		0		Việt Nam			
Khả Như	270085		0		Việt Nam			
Anh Quân	1046078		0	39.0	Việt Nam	R&B Việt	V-Pop	
Phú Quang	100149		6	18.0	Việt Nam	Nhạc Trữ Tình		
Tuấn Khanh	7525		6	15.0	Việt Nam	Rock Việt		
Phạm Duy	1312		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Lan Anh	3131		6	12.0	Việt Nam			
Kiwi Kim Quý	947589		0	39.0	Việt Nam	V-Pop		
Nguyễn Cao Kỳ Duyên	4115		0	18.0	Việt Nam			
Bảo Yến Rosie	76020	Pop sến loại 1	0	44.0	Việt Nam			
Ngọc Hà	932		6	11.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Kiều Nga	920		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Trịnh	
Ngọc Diệu	74590		6	29.0	Việt Nam	Nhạc Trữ Tình		
Kim Thoa	77486		6	15.0	Việt Nam	Nhạc Trữ Tình		
Kim Thoa	792959		6	34.0	Việt Nam	Nhạc Trữ Tình		
Thúy Hà	431687		6	29.0	Việt Nam			
Minh Phụng	7337		6	7.0	Việt Nam	Cải Lương		
Viễn Châu	7688		6		Việt Nam	Cải Lương		
Diệp Lang	7336		6	7.0	Việt Nam	Cải Lương		
Lâm Tuấn Anh	23997		6	33.0	Việt Nam	Nhạc Trữ Tình		
Thanh Thúy	557		6		Việt Nam	Nhạc Trữ Tình		
Thanh Sơn	7351		6	7.0	Việt Nam	Cải Lương		
Dương Tú Vy	704510		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Khoa Wzzzy	783573		12	45.0	Việt Nam			
Negav	791697		12		Việt Nam	Rap Việt		
MPaKK	1880110		12		Việt Nam	V-Pop		
Mai Lệ Huyền	880		6		Việt Nam	Nhạc Trữ Tình		
Ngũ Long Công Chúa	3078		0	6.0	Việt Nam			
1088	299	Pop 9x thị trường	0	13.0	Việt Nam			
Ngọc Châu	6165		0	6.0	Việt Nam			
Fireprox	947468		0	30.0	Việt Nam	V-Pop	EDM Việt	
Elly Trần	977859		0	22.0	Việt Nam	V-Pop		
Bảo Quốc	7335		6	7.0	Việt Nam			
Thanh Thanh Tâm	7764		6	7.0	Việt Nam	Cải Lương		
Nguyễn Hoàng Duy	9139	Pop sến loại 2	0		Việt Nam	V-Pop		
Luny Vũ Duy Anh	432056		0	39.0	Việt Nam	V-Pop		
Michael Lang	15019		6		Việt Nam			
Như Mai	994		6	18.0	Việt Nam	Nhạc Trữ Tình		
Chu Duyên	813826	Pop sến loại 2	0	30.0	Việt Nam	V-Pop		
Hồng Xương Long	29839		6		Việt Nam			
Đào Vũ Thanh	7779		6	7.0	Việt Nam	Cải Lương		
Tấn Tài	41078		6	15.0	Việt Nam	Nhạc Trữ Tình		
Trịnh Thanh Thảo	66505		6		Việt Nam	Nhạc Trữ Tình		
JK Dương Tiên	953869		0	32.0	Việt Nam	V-Pop		
NSND Bạch Tuyết	2176		0	35.0	Việt Nam	Nhạc Trữ Tình	Cải Lương	
Út Trà Ôn	7301		6	7.0	Việt Nam	Cải Lương		
Khương Ngọc	10476		0		Việt Nam			
Nguyên.	602700	Indie Ballad	0		Việt Nam	V-Pop	Rap Việt	R&B Việt
Nguyễn Phú Quí	65380		6	29.0	Việt Nam	Nhạc Trữ Tình		
Thúy Huyền	12238		6		Việt Nam	Nhạc Trữ Tình		
Hoàng Thi Thơ	6501		6		Nhạc Trữ Tình	Việt Nam		
N Ly	704514	Pop sến loại 1	0		Việt Nam	V-Pop		
Quế Trân	7778		6	7.0	Việt Nam	Cải Lương		
Hồng Ngọc	70166		0	39.0	Việt Nam			
Đỗ Xuân Sơn	14840	Pop sến loại 2	6	39.0	Việt Nam			
Bảo Chung	28019		6		Việt Nam			
Phương Hồng Thủy	7743		6	7.0	Việt Nam	Cải Lương		
Nguyễn Hồng Thuận	9140		0	39.0	Việt Nam	V-Pop	Nhạc Trữ Tình	
Lykio	72846		0	39.0	Việt Nam	V-Pop		
Eddy Việt	5004		12		Việt Nam	Rap Việt		
Lê Minh Sơn	37002		6		Việt Nam	Nhạc Không Lời	Hòa Tấu	Guitar
Phan Diễm	69820		6	29.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Võ Hạ Trâm	7919		6		Việt Nam	Nhạc Trữ Tình		
Lâm Anh	23167		6	39.0	Việt Nam			
Võ Như Loan	605148		6	33.0	Việt Nam	Nhạc Trữ Tình		
Diệp Thanh Thanh	570		6		Việt Nam	Nhạc Trữ Tình		
Philip Huy	888		0	39.0	Việt Nam	Nhạc Trữ Tình		
Pyshu	74344		0	27.0	Việt Nam	V-Pop		
Lê Dũng	3216	Pop 2000	0		Việt Nam			
Lê Mận	11803		6		Việt Nam	Nhạc Trữ Tình		
Tùng TeA	28756		12		Việt Nam	Rap Việt		
Quanvrox	2075833		0		Việt Nam	V-Pop	Dance Việt	
Duy Khánh	1944655		0		Việt Nam	V-Pop		
Puka	270087		0		Việt Nam	V-Pop		
Lê Dương Bảo Lâm	73735		0	5.0	Việt Nam	V-Pop		
Lâm Vỹ Dạ	73736		0		Việt Nam			
Mạc Văn Khoa	189699		12	47.0	Việt Nam			
Trường Giang	41707		12		Việt Nam	Khác		
Diễm My	819691		0		Việt Nam	V-Pop		
16 Dsloth	1879006		12	46.0	Việt Nam	Rap Việt		
Hồ Quang 8	5660		6		Việt Nam			
Hà Quỳnh Như	1929402		6		Việt Nam	Nhạc Trữ Tình		
Thế Hiển	44031		6		Việt Nam			
Y Phương	904		6		Việt Nam	Nhạc Trữ Tình		
Lương Thùy Linh	75226		0	39.0	Việt Nam	Nhạc Dân Ca - Quê Hương		
Nhất Trung	29939		0	13.0	Việt Nam			
Thành Nguyên	5481		6		Việt Nam	Nhạc Trữ Tình		
Thanh Nguyễn	105483		6		Việt Nam	Nhạc Trữ Tình		
Thành Nguyên	431656		6		Việt Nam	Nhạc Trữ Tình		
Kizzik	66553		12		Việt Nam	Rap Việt		
Tuấn Ngọc	100405		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Băng Tâm	1003751		6	18.0	Việt Nam	V-Pop		
Tường Vi	4049		6	12.0	Việt Nam	Nhạc Cách Mạng		
Vũ Thắng Lợi	600719		6		Việt Nam	Nhạc Trữ Tình		
Hương Ly	74531	Pop sến loại 1	6		Việt Nam	Nhạc Trữ Tình		
Cashmel	1984447		12	27.0	Việt Nam	V-Pop		
Mcee Blue	1917199		12	46.0	Việt Nam	Rap Việt		
Quang Thắng	432303		6		Việt Nam	Nhạc Trữ Tình		
Hạ Vân	5718		6		Việt Nam	Nhạc Trữ Tình		
Sinti Quang Tùng	54813		6	16.0	Việt Nam			
Thanh Hằng	7294		6		Việt Nam	Cải Lương		
Như Ý	956565		6	34.0	Việt Nam	Nhạc Trữ Tình		
Hùng Cường	1021		6	34.0	Việt Nam	Cải Lương		
Trung Kiên	770528		6		Việt Nam	Nhạc Trữ Tình		
Cá Hồi Hoang	433311	Indie sôi động	0	27.0	Việt Nam	Rock Việt		
RPT Orijinn	981664		12	45.0	Việt Nam	Rap Việt		
RPT Duke	1126891		12		Việt Nam	Rap Việt		
Khánh Ly	604031		6		Việt Nam	Nhạc Trữ Tình		
Hồng Nhung	429291		6	34.0	Việt Nam	Nhạc Trữ Tình		
Phạm Bảo Nam	15004	Pop sến loại 2	0	20.0	Việt Nam	V-Pop		
Blue Duy Linh	4392		0		Việt Nam			
HKT - M The Five	30242		0		Việt Nam			
Thúy Hường	6077		6	11.0	Việt Nam	Nhạc Dân Ca - Quê Hương		
Minh Quang	786440		12	47.0	Việt Nam	R&B Việt	V-Pop	
Phương Tùng	1933345		0		Việt Nam	V-Pop		
Trang Dung	819247		6	23.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Quyên Quyên	786480		0		Việt Nam	V-Pop		
Teddy Doox	1179707		12		Việt Nam	EDM Việt		
M-A	1015870		0	26.0	Việt Nam	EDM Việt	V-Pop	
Đinh Quang Minh	65603		8	3.0	Việt Nam	Nhạc Cách Mạng	Nhạc Dân Ca - Quê Hương	
Hoàng Việt (CM)	65618		6		Việt Nam	Nhạc Cách Mạng		
Lý Công	65633		6	33.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Arrenbee	721050		12		Việt Nam	V-Pop	EDM Việt	
Ogenus	721071		12		Việt Nam	Rap Việt	V-Pop	
Đinh Kiến Phương	786614		8	3.0	Việt Nam	V-Pop		
Kỳ Phương	210	Pop 2000 sến	6	10.0	Việt Nam	Dance Việt		
Monkieq	721127	Pop sôi động Flop	12	47.0	Việt Nam	EDM Việt		
Minh Ngọc	65797		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Bút Chì Màu	65798		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Bé Louise	65799		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Hạnh Kenny	65805	Pop sến loại 2	0		Việt Nam			
Ngô Khải Anh	65811		0	39.0	Việt Nam			
Anh Kiệt	302	Pop 2000	0	6.0	Việt Nam			
Vân Hà	65847		6		Việt Nam	Cải Lương		
Lạc Việt	65851		6	12.0	Việt Nam			
Nhóm Nam Việt	65859		6	12.0	Việt Nam	Nhạc Cách Mạng		
A.T.L.	65920		12	47.0	Việt Nam	Rap Việt		
Young B9z	65923		12		Việt Nam	Rap Việt		
Vũ Ngọc Diệp	402		0	21.0	Việt Nam			
H.A.T	409	Pop 2000	0	21.0	Việt Nam			
Nờ Meo	65947		12		Việt Nam	Rap Việt		
quynhanh	983452		0	39.0	Việt Nam	V-Pop		
Bảo Hân	983467		6	29.0	Việt Nam	Nhạc Trữ Tình		
Hoaichan	721329		0	27.0	Việt Nam	R&B Việt	V-Pop	
Đỗ Hiếu	65988		0	0.0	Việt Nam	V-Pop		
Omileh	457	Pop 9x nhạc sang	6	13.0	Việt Nam	Nhạc Trữ Tình	V-Pop	
N’Small	721365		12	47.0	Việt Nam	EDM Việt		
Tea Yan	819690		0	27.0	Việt Nam	V-Pop		
Cloudy	786928		0		Việt Nam	R&B Việt	V-Pop	
Phượng Linh	786931		0		Việt Nam	V-Pop	R&B Việt	
Sukai	33272		12		Việt Nam	Rap Việt		
Đỗ Phương Thảo	786965		0	38.0	Việt Nam	V-Pop		
Candy Hoài Phương	426530		0	0.0	Việt Nam			
Shayla	556		6		Việt Nam	Dance Việt		
Black Apple	66103		12		Việt Nam	Rap Việt		
Thùy Trang	66101		6	39.0	Nhạc Trữ Tình	Việt Nam		
Phương Tử Long	426586		6	29.0	Việt Nam	Nhạc Dân Ca - Quê Hương		
Chu Hoàng Tuấn	426605		6	23.0	Việt Nam	Nhạc Trữ Tình		
Thanh Gi.T	66159		0	26.0	Việt Nam	Dance Việt		
Black T	787068		12		Việt Nam	Rap Việt		
DJ Shine	787075		0	26.0	Việt Nam	EDM Việt	Dance Việt	
Ny Ny	787076		0	0.0	Việt Nam	V-Pop		
Linh Phạm	1933982		0		Việt Nam	V-Pop		
Scrip B	1966752		0	39.0	Việt Nam	V-Pop		
Đoàn Vy	1933992		0	5.0	Việt Nam	V-Pop		
Pharreal Phuong	66221		0	39.0	Việt Nam	Dance Việt		
Khôi Trần	426725		0	1.0	Việt Nam			
Đặng Quyền Huy	426727	Pop sến loại 2	0	39.0	Việt Nam			
Lâm Vỹ Văn	33553		0	39.0	Việt Nam			
Lữ Kiến Hào	426818	Pop sến loại 2	0	39.0	Việt Nam			
R.I.C	951110		12	45.0	Việt Nam	Rap Việt		
Minh Minh	33620	Pop sến loại 2	6		Việt Nam	Khác		
Bo Nguyễn	787287		0	39.0	Việt Nam	EDM Việt		
Sulla	787288		0	27.0	Việt Nam	V-Pop		
Lâm Vinh Hải	33627		12	27.0	Việt Nam			
DuyNH Prod	820094	Pop sến loại 2	0	39.0	Việt Nam	V-Pop		
Lệ Rơi	66445		0	39.0	Việt Nam			
Gia Huy	909		6		Việt Nam	Nhạc Trữ Tình		
Huỳnh Nhật Thanh	66453		6	10.0	Việt Nam	Nhạc Trữ Tình		
Su Rain Na	66461		12		Việt Nam	Rap Việt		
Phương Bích Thảo	820147		6	23.0	Việt Nam	Nhạc Trữ Tình		
Dương Phi Hoàng	820150		0		Việt Nam	V-Pop		
Linh Dino	820157		12		Việt Nam	R&B Việt	V-Pop	
Ngọc Trâm	66506		12		Việt Nam	Rap Việt		
Libra & Big Boo	66508		12	41.0	Rap Việt	Việt Nam		
Kim Chi	66524		6	29.0	Việt Nam	Nhạc Trữ Tình		
Đăng Thuật	66525		6	11.0	Việt Nam	Nhạc Trữ Tình		
Tiểu Linh	66526		6	4.0	Nhạc Trữ Tình	Việt Nam		
Trúc Linh – Trúc Lam	989		6	18.0	Việt Nam	Nhạc Trữ Tình		
Kingz JK	66532		12		Việt Nam	Rap Việt		
Endkey	66534		12		Rap Việt	Việt Nam		
R.I.C.K	66533		12		Rap Việt	Việt Nam		
Ngân Giang	1115121	Pop sến loại 2	0		Việt Nam	V-Pop		
Trường Lộc	66550		6	10.0	Việt Nam	Nhạc Tôn Giáo		
Lê Uyên Phương	1020		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Trần Minh Châu	787466		6		Việt Nam	Nhạc Trữ Tình	Nhạc Tôn Giáo	V-Pop
Billy Hoàng Phong	427048	Pop sến loại 2	0	39.0	Việt Nam			
Trung Hành	1075		6		Việt Nam	Nhạc Trữ Tình		
Trina Bảo Trân	1082		6		Việt Nam	Nhạc Trữ Tình		
Tân Mai K	2229309		12	24.0	Rap Việt	Việt Nam		
Mad'L	820294		12		Việt Nam	Rap Việt		
Linh Trúc	66658		6		Việt Nam			
Quỳnh Lê	984198		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Sang Rubi	984208		12		Việt Nam	Rap Việt		
Pudding Vũ	427165		0		Việt Nam	Rap Việt		
Nguyễn Đình Toàn	1182		6		Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	Nhạc Dân Ca - Quê Hương
Trần Quốc Thắng	427240		0	39.0	Việt Nam			
Thúy Anh	787714		6		Việt Nam	Nhạc Trữ Tình		
DJ Anh Châu	427285		0	26.0	Việt Nam			
Đan Thùy	34076	Pop sến loại 2	0		Việt Nam			
Fill D	1901875		12		Việt Nam	Rap Việt		
Leo Minh Tuấn	787777		6	39.0	Việt Nam	Nhạc Trữ Tình	R&B Việt	
Tiến Đào	787785		12		Việt Nam	Rap Việt		
Thịnh Trần	787788		12		Việt Nam	Rap Việt		
Gọi Là Phúc	787792		0	27.0	Việt Nam	Rap Việt		
Công Hòa	787793		0	0.0	Việt Nam	Rap Việt		
Vy Thảo	427369		6		Việt Nam	Nhạc Trữ Tình		
Hà Mi	66922		6		Việt Nam	Nhạc Trữ Tình		
Thy	1934723		0	27.0	Việt Nam	V-Pop		
Thế Anh BLA	787862		0	26.0	Việt Nam	V-Pop		
Hoàng Dững	427420		6	7.0	Việt Nam	Nhạc Trữ Tình		
Nguyên Hân	427421		6		Việt Nam			
Lê Hải Anh	787879		0		Việt Nam	Nhạc Trữ Tình	V-Pop	
Thrasher Boy	787893		12		Việt Nam	Rap Việt		
Hồng Yến	427446		6		Việt Nam	Nhạc Tôn Giáo		
Đa Sắc	67005		12	47.0	Việt Nam	Rap Việt		
Robin Gia Bảo	67033		33		Việt Nam	Nhạc Thiếu Nhi		
Anh Tuấn	304		71	39.0	Việt Nam	Rock Việt		
Otis	787971		0	27.0	Việt Nam	V-Pop		
Mr. Sâu	1967623		12	47.0	Việt Nam	Rap Việt		
Đỗ Quyên	787976		0	25.0	Việt Nam	Nhạc Trữ Tình	Dance Việt	
Tàu Bay	787982		0	27.0	Việt Nam	V-Pop		
Quang Huy	787983		0		Việt Nam	V-Pop		
Thành Nam ABK	787989	Pop sến loại 2	0		Việt Nam	V-Pop		
Yuno	427562		12		Việt Nam	Rap Việt		
Kang Hii	2295372		0		Việt Nam	V-Pop		
Bé Suri Minh Thư	984674		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Nigah	1967728		0		Việt Nam	V-Pop		
Minant	1967729		0		Việt Nam	V-Pop		
NgânT	788085		12	47.0	Việt Nam	Rap Việt		
Spy	788088		12	47.0	Việt Nam	Rap Việt		
Yuki Bo	788090		12		Việt Nam	Rap Việt		
Bảo Thắng	427649		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
J.K	984706		0	39.0	Việt Nam	V-Pop		
Nemo	427679		0	26.0	Việt Nam			
HER	427680	Pop Ballad Flop	0	19.0	Việt Nam			
Trường Hải	820906		12	47.0	Việt Nam	V-Pop		
Jemy	1050286		12		Việt Nam	R&B Việt	V-Pop	
Lương Gia Tuấn	67245	Pop miền Tây	0		Việt Nam			
Hào Năng	427700		0	5.0	Việt Nam	V-Pop		
Tô Minh	427702		0	20.0	Việt Nam	V-Pop		
Dưa Hấu	2131686		12		Rap Việt	Việt Nam		
Lý Duy Hoàng	67304		0	39.0	Việt Nam			
Luân Ken	67308	Pop sến loại 2	0	39.0	Việt Nam			
Phương Chi Bảo	67342	Pop sến loại 2	0		Việt Nam			
Kevin Rogers	34611		6		Việt Nam			
Huỳnh Tiên	427840		0		Việt Nam			
MaL.	2328387		0	36.0	Việt Nam	V-Pop		
Bãoz	67414		12	19.0	Rap Việt	Việt Nam		
HAN	788312		0	39.0	Việt Nam	Rap Việt	V-Pop	
Lưu Phúc Nguyên	67439		6		Nhạc Trữ Tình	Việt Nam		
Kyo	1927		12		Việt Nam	Rap Việt		
Hà An	427917	Pop sến loại 2	0	39.0	Việt Nam			
Hải Linh	427926		0		Việt Nam			
Ngọc Vy	427927		0		Việt Nam			
Ái Xuân	1961		6	0.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Lê Hữu Toàn	67528		6		Việt Nam			
Jolly Nguyễn	1991	Pop 2000 sến	0	6.0	Việt Nam			
Vân JP	985036		0	22.0	Việt Nam	V-Pop		
Đức Trí	2028		8		Việt Nam			
Kenz	788496		0	26.0	Việt Nam	Dance Việt		
Đan Đan	34835	Pop sến loại 2	0	39.0	Việt Nam			
Various Artists	2086		8	29.0	Việt Nam	Hàn Quốc	Âu Mỹ	Hoa Ngữ
Dami	2197550		0	5.0	V-Pop	Việt Nam		
Y Điêu	2295873		0	39.0	Việt Nam	V-Pop		
AXN	2135	Pop 2000	0		Việt Nam			
B.O.M	2136	Pop 2000 sến	0	39.0	Việt Nam			
Diệu Huyền	788579		12	0.0	Việt Nam	Rap Việt		
Phong GIZO	788580		12		Việt Nam			
S.O	1935472		12	46.0	Việt Nam	Rap Việt		
HighWay	1935474		12	46.0	Việt Nam	Rap Việt		
Bred	1935475		12	46.0	Việt Nam	Rap Việt		
Ku Bi	428174		0		Việt Nam			
Hà Phương Linh	428177		6	0.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Val Huyn	67738		0	39.0	Việt Nam			
Bích Trâm	2205	Pop 2000 sến	0		Việt Nam			
Đinh Tuấn Khanh	100528		0	1.0	Việt Nam	Rock Việt		
Thích Nhuận Thanh	428210		6		Việt Nam	Nhạc Tôn Giáo		
Hoàng Rain	428222		0	26.0	Việt Nam			
Hậu Nguyễn	67775		6		Nhạc Trữ Tình	Việt Nam		
Cẩm Tú	2250		6	12.0	Việt Nam			
Cát Tuyền	2256		6		Việt Nam	Nhạc Trữ Tình		
NSƯT Quỳnh Liên	2294		6	12.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Kasim	2306		6	0.0	Việt Nam	Nhạc Trữ Tình		
Hoàng Anh	67846		12		Việt Nam			
Thiên Minh	2322	Pop 2000	0	6.0	Việt Nam			
Nhạc Nguyễn	952600		6	10.0	Việt Nam	Nhạc Tôn Giáo		
Chí Cường	2340	Pop 2000 sến	0	39.0	Việt Nam			
Danh Tuấn Trung	788777		0	39.0	Việt Nam	V-Pop		
Khuê	2132281		0		Việt Nam	V-Pop		
K.Na	35149		12		Việt Nam	Rap Việt		
Huỳnh Tấn Sang	35152		6	39.0	Việt Nam			
Vân Hạ	67921		6	15.0	Việt Nam	Nhạc Dân Ca - Quê Hương		
Cao Phi Long	35154		6		Việt Nam			
Thiện	952674		0	20.0	Việt Nam	V-Pop		
Kodaki	952676		8	15.0	Việt Nam	Nhạc Không Lời		
Kimpt	35175		0		Việt Nam			
Triệu Thiên Vỹ	428398		0	0.0	Việt Nam			
CS2	2001309		0	31.0	Việt Nam	V-Pop	Rap Việt	
YellowA Cassette Đỏ	788893		0		Việt Nam	Rap Việt	R&B Việt	
Jipi Trà	1870248		12		Việt Nam	V-Pop		
Châu Hoàng Đạt	1870249		0		Việt Nam	V-Pop		
Đạt Villa	2001325		0	40.0	Việt Nam	V-Pop		
Trần Thắng	1870261		6		Việt Nam	Nhạc Trữ Tình		
Juki AT	35255		12		Việt Nam	Rap Việt		
Ngọc Bích	2616		6		Việt Nam	Nhạc Trữ Tình		
Khoa Quân	2361933		0	5.0	Việt Nam	V-Pop		
Tuấn Anh	2638		6	11.0	Việt Nam	Nhạc Trữ Tình		
Tuấn Phong A	2646		6		Việt Nam	Nhạc Trữ Tình		
Chou	789082		0	27.0	Việt Nam	V-Pop		
D&D	2656	Pop 2000 sến	0	6.0	Việt Nam			
Liones	68198		12	0.0	Rap Việt	Việt Nam		
Thangzet	68200		12		Việt Nam	Rap Việt		
Khánh Jayz	68197		12	47.0	Việt Nam	Rap Việt		
Dương Triều Anh	2714		0	15.0	Việt Nam			
Phong Vũ	658098		6		Việt Nam	Nhạc Trữ Tình		
Anh Quốc	2746	Pop 2000 sến	0	0.0	Việt Nam			
Anh Tâm	2749	Pop sến loại 2	6	10.0	Việt Nam			
AT117	2751		12		Việt Nam	Rap Việt		
Hồ Kim	2784		0	39.0	Việt Nam			
Huỳnh Nhã Lâm	2789		0		Việt Nam			
Tú Trinh	68335		33	14.0	Việt Nam	Nhạc Trữ Tình		
Kha Ly	2799		0	1.0	Việt Nam	Nhạc Trữ Tình	V-Pop	
Minh Xù	2802	Pop Ballad Flop	0	39.0	Việt Nam			
Vin Nii	953083		0		Việt Nam	V-Pop	R&B Việt	
DJ DZ Mix	789247		0	26.0	Việt Nam	EDM Việt		
Hoàng Thy	101117		0	39.0	Việt Nam	V-Pop		
Kim Tiểu Phương	2820	Pop 2000 sến	8	3.0	Việt Nam			
YunBin	2165516		0	1.0	V-Pop	Việt Nam		
Duong Tri	2165517		0	1.0	V-Pop	Việt Nam		
Hoàng Thanh	2837	Pop 2000 sến	6		Việt Nam			
Mạnh Quân	2850	Pop Mainstream Vocal	0	13.0	Việt Nam			
Flamocean	2263845		0	5.0	Việt Nam	V-Pop		
Mono	789286		12	47.0	Việt Nam	V-Pop		
Phạm Nguyên Linh	2858		6	1.0	Việt Nam	Nhạc Trữ Tình		
Hồng Vy	2862		6	12.0	Việt Nam	Nhạc Cách Mạng		
Mi Lan	2861	Pop 2000 sến	0	39.0	Việt Nam			
Flowers Team	2263861		0	5.0	Việt Nam	V-Pop		
Mr Bo	2872	Pop miền Tây	0		Việt Nam			
Huỳnh Phong	2892		0	0.0	Việt Nam	V-Pop		
STEP BY STEP	2263890		0	5.0	Việt Nam	V-Pop		
7 Cases off 1	2263894		0	5.0	Việt Nam	V-Pop		
TOP 100	2263895		0	5.0	Việt Nam	V-Pop		
Lyly Quaoccho	789340		0	27.0	Việt Nam	V-Pop		
Lã.	789341		12	47.0	Việt Nam	V-Pop		
DJ Keebin	428911		0	26.0	Việt Nam			
Nhóm G-Shine	428912		0	0.0	Việt Nam			
Chiulinh	2100085		12		Việt Nam			
Zury	2034561		12	47.0	Việt Nam	Rap Việt		
Minn	1182597		0		Việt Nam	Rap Việt	V-Pop	
Bon	1182598		0		Việt Nam	Rap Việt	V-Pop	
Quách Ngọc Hậu	1936282		6	0.0	Việt Nam	Nhạc Trữ Tình		
GiGun	789469	Pop Ballad Flop	0		Việt Nam	V-Pop		
Khaly Nguyễn	3046	Pop 2000 sến	0	39.0	Việt Nam			
Lương Ngọc Quý	101356		6	10.0	Việt Nam	Nhạc Tôn Giáo		
Vương Duy	35820	Pop sến loại 2	0	15.0	Việt Nam			
Hào Kiệt	1870834		0		Việt Nam	V-Pop		
Mr Reno	3070		0	39.0	Việt Nam			
Takej Minh Huy	3079	Pop 2000	0	0.0	Việt Nam			
Kim Khánh	3090		6	15.0	Việt Nam	Nhạc Trữ Tình		
Kim Minh Huy	3095		0		Việt Nam	Nhạc Trữ Tình		
Hồ Kim Thoa	3098		6	39.0	Việt Nam	Nhạc Trữ Tình		
Thiên Trường - Địa Hải	3105		0	39.0	Việt Nam			
La Chiêu Ân	3106		6		Việt Nam			
Bé Khánh Linh	68669		6		Việt Nam	Nhạc Thiếu Nhi		
Triệu Hoàng	3135		0	39.0	Việt Nam	Rock Việt		
Q.Huy	789568		0	39.0	Việt Nam	V-Pop	EDM Việt	
Nguyễn Mạnh	953425		0		Việt Nam	V-Pop		
TINLE	953430		0	44.0	Việt Nam	V-Pop		
Vi Nhạn Ngọc	3157	Pop 2000 sến	0	39.0	Việt Nam			
Hoàng Thanh Bình	101494		6	12.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Huyền Trang	3192		6	8.0	Việt Nam			
TWENTY	68730		12		Việt Nam			
Hồng Lê May	789633		6		Việt Nam	Nhạc Trữ Tình		
ALIEN.S	68741		0	26.0	Việt Nam			
Thiên Quý	953486		12	0.0	Việt Nam	Rap Việt		
WRC	789650		0	39.0	Việt Nam	Dance Việt	V-Pop	
Đặng Tuấn Phương	35988	Pop sến loại 2	0	26.0	Việt Nam			
Cương TĐ	68765		12		Việt Nam	Rap Việt		
Tino	68771	Pop sến loại 2	0		Việt Nam	V-Pop		
Gia Hân	3235	Pop 2000 sến	0		Việt Nam			
Bon	2264254		0	44.0	Việt Nam	V-Pop		
Tố Như	3289		0	39.0	Việt Nam			
Bé Minh Thư	68826		33	2.0	Việt Nam	Nhạc Thiếu Nhi		
Bạn Có Tài Mà	2067694		12		Việt Nam	Rap Việt		
Mai Thành Đông	3330		0		Việt Nam			
OLDboy	986372		12	47.0	Việt Nam	Rap Việt		
JK	986374		12	47.0	Việt Nam	Rap Việt		
